epoch,train_mae,val_mae,val_rmse,val_roi_level_mae,backbone_lr,head_lr
1,12.572552680969238,7.7621564865112305,10.439468383789062,9.070035934448242,1.9268621808840434e-06,1.9268621808840433e-05
2,8.831155776977539,6.939879417419434,9.348170280456543,7.896397113800049,2.8902932713260653e-06,2.890293271326065e-05
3,8.072867393493652,6.9344072341918945,9.303864479064941,7.730358600616455,2.8902932713260653e-06,2.890293271326065e-05
4,7.756358623504639,6.777428150177002,9.139484405517578,7.413156509399414,2.8890906193486925e-06,2.8890906193486924e-05
5,7.455184459686279,6.671807289123535,8.967305183410645,7.271271705627441,2.885484665112102e-06,2.885484665112102e-05
6,7.341163635253906,6.793244361877441,9.141339302062988,7.391427516937256,2.8794814103712527e-06,2.8794814103712522e-05
7,7.187707901000977,6.761047840118408,9.059219360351562,7.377530097961426,2.871090846951203e-06,2.871090846951203e-05
8,7.080204486846924,6.681186199188232,8.916779518127441,7.209867477416992,2.8603269401167096e-06,2.8603269401167092e-05
9,6.973537921905518,7.10155725479126,9.397743225097656,7.590503692626953,2.8472076053284167e-06,2.8472076053284162e-05
10,6.947197914123535,6.779576301574707,8.987907409667969,7.283687591552734,2.8317546784243426e-06,2.8317546784243422e-05
11,6.838658332824707,6.613387584686279,8.870576858520508,7.144123554229736,2.813993879276283e-06,2.813993879276283e-05
12,6.766509056091309,6.87711763381958,9.144765853881836,7.377776145935059,2.7939547689816223e-06,2.793954768981622e-05
13,6.707956790924072,6.5916829109191895,8.85413932800293,7.100363254547119,2.771670700661802e-06,2.771670700661802e-05
14,6.664632320404053,6.601114273071289,8.876416206359863,7.089291572570801,2.7471787639493447e-06,2.7471787639493444e-05
15,6.549615383148193,6.63994836807251,8.891318321228027,7.127713680267334,2.7205197232558193e-06,2.720519723255819e-05
16,6.512613296508789,6.567765235900879,8.799912452697754,7.038303375244141,2.6917379499235017e-06,2.6917379499235015e-05
17,6.456439971923828,6.607746601104736,8.879157066345215,7.061794757843018,2.6608813483736545e-06,2.6608813483736543e-05
18,6.4190239906311035,6.529480457305908,8.765734672546387,7.001462459564209,2.628001276374345e-06,2.6280012763743447e-05
19,6.362375736236572,6.804087162017822,9.068042755126953,7.329630374908447,2.5931524595605093e-06,2.5931524595605088e-05
20,6.29439115524292,6.621686935424805,8.898862838745117,7.12748908996582,2.556392900348533e-06,2.5563929003485327e-05
21,6.292237281799316,6.727107524871826,8.993268966674805,7.202807903289795,2.517783781396955e-06,2.5177837813969547e-05
22,6.207626819610596,6.5149617195129395,8.763954162597656,7.007669925689697,2.4773893637739673e-06,2.4773893637739672e-05
23,6.1468119621276855,6.505038261413574,8.761383056640625,7.014063358306885,2.435276880001213e-06,2.435276880001213e-05
24,6.133571147918701,6.857795238494873,9.09244441986084,7.34506368637085,2.3915164221518857e-06,2.3915164221518858e-05
25,6.058717727661133,6.574479579925537,8.827618598937988,7.078923225402832,2.346180825189392e-06,2.346180825189392e-05
26,6.039583683013916,6.640377044677734,8.961817741394043,7.168663501739502,2.299345545740745e-06,2.2993455457407447e-05
27,5.954406261444092,6.491296768188477,8.712121963500977,6.978754043579102,2.2510885365064506e-06,2.2510885365064502e-05
